epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.526,1.61757,0.66342,0.99125,0.90802,0.00030143,0.00030143,0.00030143
2,45.6845,0.90681,0.83852,1,0.43095,0.000544591,0.000544591,0.000544591
3,64.6437,0.62969,0.88911,0.99805,0.31362,0.000727759,0.000727759,0.000727759
4,83.8227,0.47229,0.93774,0.99805,0.19985,0.000639027,0.000639027,0.000639027
5,103.061,0.35815,0.97082,0.99903,0.10856,0.000549036,0.000549036,0.000549036
6,122.734,0.29526,0.98152,1,0.07059,0.000459045,0.000459045,0.000459045
7,142.182,0.23558,0.9893,1,0.05558,0.000369054,0.000369054,0.000369054
8,162.267,0.19019,0.99027,1,0.03456,0.000279063,0.000279063,0.000279063
9,182.121,0.17751,0.99319,1,0.03436,0.000189072,0.000189072,0.000189072
10,201.413,0.16376,0.99125,1,0.03278,9.9081e-05,9.9081e-05,9.9081e-05
